Propn of providers correctly using syndromic mngt protocols (1985-2025; private then public)																																																																																
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0700	0.1100	0.1500	0.1800	0.2100	0.2300	0.2500	0.2700	0.2900	0.3100	0.3300	0.3500	0.3700	0.3900	0.4100	0.4300	0.4500	0.4700	0.4900	0.5100	0.5300	0.5500	0.5700	0.5900	0.6100	0.6300	0.6500	0.6700	0.6900	0.7100	0.7300	0.7500	0.7700	0.7900	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.3000	0.5000	0.6500	0.7500	0.7800	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000
Propn reduction in public sector treatment effectiveness due to drug shortages (1985-2025)																																																																																
0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.1800	0.1600	0.1300	0.1000	0.0800	0.0600	0.0500	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400	0.0400
Rate of first-time HIV testing																																																																																
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	0.0109	0.0155	0.0196	0.0233	0.0265	0.0296	0.0324	0.0347	0.0365	0.0374	0.0390	0.0308	0.0228	0.0263	0.0265	0.0241	0.0382	0.1477	0.1982	0.1550	0.1472	0.1043	0.1199	0.1677	0.1851	0.1682	0.1748	0.2481	0.1735	0.2065	0.2141	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090	0.2090
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0091	0.0175	0.0249	0.0316	0.0374	0.0426	0.0476	0.0521	0.0558	0.0586	0.0602	0.0626	0.0506	0.0384	0.0453	0.0467	0.0435	0.0707	0.2803	0.3861	0.3020	0.2867	0.2031	0.2336	0.3268	0.3605	0.3277	0.3405	0.4834	0.3379	0.4024	0.4171	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071	0.4071
Fraction of opportunistic infection patients tested for HIV																																																																																
0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0500	0.0800	0.1500	0.2100	0.2900	0.3400	0.4300	0.5500	0.7800	0.8300	0.8700	0.9200	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300	0.9300
Propn of children progressing to AIDS who start HAART (1985-2025)																																																																																
