0	0	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
1	1	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
2	2	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
3	3	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
4	4	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
5	5	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
6	6	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
7	7	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
8	8	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000
9	9	0.533215421	0.530622352	0.533255109	0.544347396	0.500000	0.500000






